step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,sa1842introes-espanol-edicion,0.5048004076685131,0.24196291950596152,1.8662399999999997,,The Letter,Miguel Pena's letter to Simón Bolívar,," ",the-realities-of-the-life-of.md,,,,,
2,sa1842introes-espanol-edicion,0.5023948461206031,0.22523863772165906,2.7135000000000007,,The Meeting,Bolivar and Rodriguez meet,,Learn more,the-realities-of-learn-more.md,Sociedades Americanas,the-realities-of-influential-words-from.md,,,
3,sa1842introes-espanol-edicion,0.42902671982221136,0.38562578149259497,2.4883199999999994,,What was Rodriguez's purpose about the future of education and government,How they will be and how they could be,,Learn more,the-realities-of-step3-layer1.md,,,,,
4,sa1842introes-espanol-edicion,0.6131656822907174,0.4432540571430079,2.3949092614683556,,"Cooperation over Conflict ","Americans should stop fighting among themselves and focus on working together to build their new society. ",,Learn More,the-realities-of-en-esto-han.md,Go Deeper,the-realities-of-susana-rotker-nation.md,,,
5,sa1842introes-espanol-edicion,0.5121796495694155,0.5870240398802329,2.3511427874461686,,History of Citizenship,"Overtime freedom of one has changed due to government's different foundations.  ",,,,,,,,
6,sa1842introes-espanol-edicion,0.6897765393256844,0.5480625067258801,5.242367572012471,,Whats the opposite of Rodriquez's idea?,"In this bracket it illustrates that stripping away the rights from the citizens is what built this type of government leading to injustice in America's society. ",,,,,,,,
7,sa1842introes-espanol-edicion,0.6573966132641432,0.6446004259559907,4.525574131363169,,"What supports Rodriquez's government key foundation? ","In this bracket the foundation was based on liberty among all citizens backed up with responsibilities to follow. ",,Rodriquez's Governmental Idea,the-realities-of-rodriquezs-governmental-idea.md,,,,,
8,sa1842introes-espanol-edicion,0.4538704444078523,0.7279799702199881,2.9859839999999993,,"Postcolonial Spanish America ",Where society or people are not ready to be under a monarchy or a republic.,,,,,,,,
9,sa1842introes-espanol-edicion,0.6657985814794184,0.7294749991057567,6.1917364223999956,,Spanish America,"A focus onto Spanish America, present day Latin America.",,,,,,,,
10,sa1842introes-espanol-edicion,0.513257382944468,0.8415711475981694,2.592000000000001,,Who is the TRUE republic?,"A look into what Simon Rodriguez, considers a TRUE republic and who he believes meets this statement.",,Learn more,the-realities-of-republicanism.md,,,,,
